product_id,product_type,image_path,alt_text,sort_order,status,created_date
sasasqwqw,digital,uploads/products/1758054703_0_IMG-20250908-WA0013.jpg,"sasasqwqw Image 1",1,active,2025-09-16
sasasqwqw,digital,uploads/products/1758054703_1_IMG-20250908-WA0013.jpg,"sasasqwqw Image 2",2,active,2025-09-16
dxz,digital,uploads/products/1758055223_68c9cb3752aa5_IMG-20250908-WA0013.jpg,"dxz Image 1",1,active,2025-09-16
dsds,digital,uploads/products/1758055323_0_IMG-20250908-WA0013.jpg,"dsds Image 1",1,active,2025-09-16
dsds,digital,uploads/products/1758055323_1_IMG-20250908-WA0013.jpg,"dsds Image 2",2,active,2025-09-16
sasasa,digital,uploads/products/1758055460_0_IMG-20250908-WA0017.jpg,"sasasa Image 1",1,active,2025-09-16
sasasa,digital,uploads/products/1758055460_1_IMG-20250908-WA0017.jpg,"sasasa Image 2",2,active,2025-09-16
ewqewq,digital,uploads/products/1758121680_0_IMG-20250908-WA0010.jpg,"ewqewq Image 1",1,active,2025-09-17
ewqewq,digital,uploads/products/1758121680_1_IMG-20250908-WA0010.jpg,"ewqewq Image 2",2,active,2025-09-17
sadasd,digital,uploads/products/1758121867_68cacf8b841bd_IMG-20250908-WA0017.jpg,"sadasd Image 1",1,active,2025-09-17
